TipoMaturità,VotoDiploma,CFU1,AnniFuoriCorso
11.0,88.0,54,0.0
11.0,94.0,36,1.0
11.0,93.0,42,0.0
13.0,84.0,42,0.0
11.0,86.0,15,1.0
11.0,80.0,60,0.0
11.0,100.0,60,0.0
5.0,89.0,60,0.0
11.0,86.0,24,1.0
11.0,100.0,54,0.0
11.0,70.0,9,1.0
11.0,72.0,18,1.0
11.0,77.0,54,0.0
5.0,82.0,48,1.0
11.0,95.0,60,0.0
11.0,98.0,33,1.0
12.0,81.0,24,1.0
13.0,95.0,42,0.0
12.0,92.0,33,1.0
11.0,83.0,48,1.0
11.0,87.0,42,1.0
5.0,95.0,45,1.0
11.0,74.0,42,1.0
13.0,100.0,39,1.0
5.0,100.0,42,1.0
11.0,89.0,33,1.0
5.0,67.0,27,1.0
