Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC
74,A4607,39,45,42,126,06122,L2,2011,3,2011,70,SAPC040008,Classica,2014,100,0,0,Cessato,Laureato,1
75,A1054,54,48,78,180,06122,L2,2011,3,2011,100,SAPS09000C,Scientifica,2013,104,0,0,Cessato,Laureato,0
76,A2492,54,54,72,180,06122,L2,2011,3,2011,100,AVPS02701R,Scientifica,2013,111,0,0,Cessato,Laureato,0
77,A1107,6,?,?,6,06122,L2,2011,2,2011,74,AVPS12000T,Scientifica,?,?,0,0,Cessato,Rinuncia,0
78,A11,48,42,42,132,06122,L2,2011,3,2011,93,SAPC040008,Classica,2014,109,0,0,Cessato,Laureato,1
79,A4075,?,?,?,0,06122,L2,2011,1,2011,96,NAPS110002,Scientifica,?,?,0,0,Cessato,Errata-Immatricolazione,0
80,A221,33,18,9,60,06122,L2,2011,3,2011,80,SAPS09000C,Scientifica,?,?,0,0,Attivo,Immatricolazione,5
81,A1756,42,36,30,108,06122,L2,2011,3,2011,72,SAPS18000P,Scientifica,2016,98,0,0,Cessato,Laureato,3
82,A4912,12,?,?,12,06122,L2,2011,2,2011,81,SAPS08000T,Scientifica,?,?,0,0,Cessato,Rinuncia,0
83,A1745,36,18,30,84,06122,L2,2011,3,2011,100,SAPS020006,Scientifica,2018,95,0,0,Cessato,Laureato,5
84,A4100,?,?,?,?,06122,L2,2011,3,2009,80,SATE06901B,Scientifica,?,?,0,0,Cessato,Rinuncia,0
85,A3998,54,48,42,144,06122,L2,2011,3,2011,100,SAPS09000C,Scientifica,2014,102,0,0,Cessato,Laureato,1
86,A2431,18,15,24,57,06122,L2,2011,3,2011,70,SAPS06000L,Scientifica,?,?,0,0,Attivo,Immatricolazione,5
87,A2812,54,60,66,180,06122,L2,2011,3,2011,100,SAPS04401Q,Scientifica,2013,111,0,0,Cessato,Laureato,0
88,A2065,48,36,24,108,06122,L2,2011,3,2011,78,SAPS170004,Scientifica,2016,93,0,0,Cessato,Laureato,3
89,A3185,9,?,?,9,06122,L2,2011,1,2011,85,9999999,Scientifica,?,?,0,0,Cessato,Rinuncia,0
90,A737,27,27,36,90,06122,L2,2011,3,2011,87,SAPS120003,Scientifica,2016,97,0,0,Cessato,Laureato,3
91,A827,18,48,36,102,06122,L2,2011,3,2011,80,SAPS18000P,Scientifica,2016,94,0,0,Cessato,Laureato,3
92,A3461,?,9,18,27,06122,L2,2011,3,2009,92,SAPS05701T,Scientifica,?,?,0,0,Sospeso,Trasferimento-Uscita,3
93,A4632,6,12,?,18,06122,L2,2011,2,2011,100,SAPS020006,Scientifica,?,?,0,0,Cessato,Rinuncia,0
94,A1008,15,?,9,24,06122,L2,2011,3,2008,60,SAPS10000T,Scientifica,2016,90,0,0,Cessato,Laureato,3
95,A2379,24,18,36,78,06122,L2,2011,3,2011,100,SAPS15000V,Scientifica,2017,97,0,0,Cessato,Laureato,4
96,A954,27,?,?,27,06122,L2,2011,2,2011,90,SAPC00101P,Classica,?,?,0,0,Cessato,Rinuncia,0
97,A451,54,48,42,144,06122,L2,2011,3,2011,100,SAPS06000L,Scientifica,2014,105,1,0,Cessato,Laureato,1
98,A3337,?,?,?,0,06122,L2,2011,1,2011,63,SAPS120003,Scientifica,?,?,0,0,Cessato,Rinuncia,0
99,A4611,33,33,36,102,06122,L2,2011,3,2011,82,SAPS020006,Scientifica,2016,88,0,0,Cessato,Laureato,3
100,A4126,54,54,72,180,06122,L2,2011,3,2011,100,NAPS160003,Scientifica,2013,111,0,0,Cessato,Laureato,0
101,A3571,?,?,?,0,06122,L2,2011,1,2011,81,SAPS04000B,Scientifica,?,?,0,0,Cessato,Decadenza,0
102,A2069,54,42,63,159,06122,L2,2011,3,2011,87,SAPS18000P,Scientifica,2014,101,0,0,Cessato,Laureato,1
103,A2066,?,?,?,?,06122,L2,2011,1,2011,94,SAPS170004,Classica,?,?,0,0,Cessato,Rinuncia,0
104,A1295,18,?,?,18,06122,L2,2011,2,2011,91,SAPS11000C,Scientifica,?,?,0,0,Cessato,Rinuncia,0
105,A4130,?,?,?,0,06122,L2,2011,1,2011,90,SAPS03601R,Scientifica,?,?,0,0,Cessato,Rinuncia,0
106,A3833,?,?,?,?,06122,L2,2011,1,2011,62,SAPS170004,Scientifica,?,?,0,0,Cessato,Rinuncia,0
107,A3377,6,?,?,6,06122,L2,2011,1,2008,62,SAPM03000T,Socio-Psico-Pedagogico,?,?,0,0,Cessato,Decadenza,0
108,A3885,?,?,?,?,06122,L2,2011,1,2011,64,SATF06000P,Tecnico,?,?,0,0,Cessato,Decadenza,0
109,A546,?,?,?,?,06122,L2,2011,1,2011,97,SAPS11000C,Scientifica,?,?,0,0,Cessato,Rinuncia,0
