TipoMaturità,VotoDiploma,CFU1,AnniFuoriCorso,Cluster
11,74,9,0,0
11,86,33,0,0
11,100,54,0,1
11,100,54,1,1
11,83,27,2,0
11,88,42,2,1
11,95,48,1,1
11,100,42,3,1
11,93,18,0,0
6,94,6,3,0
11,100,54,0,1
5,87,42,3,1
11,83,30,3,0
11,100,6,0,0
11,92,15,0,0
11,78,30,3,0
7,82,48,2,1
11,81,54,0,1
11,83,24,2,0
11,96,42,2,1
11,83,48,2,1
11,72,9,3,0
11,100,54,0,1
13,100,48,1,1
11,78,36,1,0
13,70,45,0,1
11,83,9,3,0
11,90,42,1,1
10,100,54,0,1
11,100,48,1,1
11,86,54,1,1
11,86,36,2,1
11,72,54,1,1
11,85,42,3,1
11,85,54,0,1
11,90,54,0,1
9,88,33,3,0
11,98,21,3,0
11,73,27,3,0
11,100,54,0,1
11,80,54,1,1
11,100,42,2,1
11,62,18,0,0
11,100,48,0,1
11,85,15,0,0
13,75,15,0,0
8,100,54,2,1
5,91,15,3,0
11,77,6,0,0
11,71,33,3,0
6,78,33,3,0
13,100,21,3,0
13,92,9,3,0
11,78,42,2,1
11,70,36,3,0
11,76,18,2,0
13,96,42,2,1
13,77,15,2,0
11,78,30,2,0
5,100,54,1,1
13,98,30,3,0
11,88,36,3,1
5,89,42,1,1
11,87,36,3,1
11,100,54,0,1
5,82,24,3,0
11,83,6,0,0
11,100,54,0,1
13,96,54,1,1
6,80,30,0,0
13,97,36,3,1
11,90,18,3,0
10,68,9,3,0
13,91,39,3,1
11,95,54,0,1
11,93,15,0,0
11,92,42,2,1
11,84,30,3,0
11,70,15,3,0
11,100,24,1,0
11,82,54,0,1
11,100,27,3,0
13,100,9,3,0
11,81,30,2,0
11,69,9,0,0
11,77,15,1,0
11,100,42,3,1
11,80,9,0,0
6,96,27,2,0
13,60,30,3,0
11,100,54,0,1
11,100,21,0,0
11,70,9,3,0
11,81,36,3,0
11,68,6,0,0
11,94,30,3,0
11,100,54,0,1
11,100,12,1,0
13,90,9,1,0
7,85,36,2,1
11,100,42,2,1
11,69,42,3,1
6,80,33,3,0
13,75,21,3,0
11,75,48,3,1
11,75,15,1,0
11,78,9,0,0
11,81,42,1,1
11,100,54,1,1
11,95,42,2,1
7,71,30,2,0
11,95,54,1,1
11,88,18,2,0
11,70,24,0,0
7,71,9,3,0
11,96,30,3,0
11,88,42,2,1
11,90,9,0,0
7,84,15,0,0
11,91,30,3,0
11,90,6,3,0
11,75,15,3,0
13,89,15,3,0
5,85,18,1,0
11,95,54,1,1
11,83,48,1,1
11,87,9,0,0
11,89,48,1,1
11,87,15,0,0
11,85,54,0,1
11,70,30,3,0
11,84,21,3,0
11,88,6,0,0
11,80,30,2,0
11,80,15,0,0
11,87,33,3,0
11,92,48,1,1
5,92,48,3,1
11,77,15,0,0
11,84,24,3,0
5,94,15,0,0
11,74,36,3,0
7,75,6,3,0
11,72,9,3,0
11,87,36,1,1
5,80,15,3,0
11,83,15,3,0
12,61,30,3,0
11,64,9,1,0
11,76,9,0,0
11,86,42,1,1
11,100,48,1,1
11,100,54,0,1
11,97,42,2,1
11,100,54,0,1
11,86,42,1,1
11,100,54,2,1
5,81,9,2,0
11,90,36,2,1
11,87,36,2,1
11,63,15,2,0
13,90,54,0,1
6,95,36,2,1
11,95,48,0,1
11,65,21,2,0
11,100,48,0,1
11,85,48,1,1
11,96,54,0,1
11,97,42,2,1
11,100,42,2,1
11,68,21,2,0
11,90,42,0,1
11,85,24,2,0
11,93,6,0,0
5,66,15,0,0
11,97,24,2,0
11,100,48,1,1
11,91,48,1,1
5,78,36,2,0
11,94,42,1,1
11,65,6,0,0
11,100,42,2,1
11,83,30,2,0
11,100,54,0,1
11,80,30,2,0
11,84,54,0,1
11,82,36,2,0
11,100,42,0,1
13,88,15,2,0
11,93,30,2,0
12,62,6,0,0
11,64,36,2,0
11,64,9,2,0
11,100,54,0,1
11,86,54,0,1
11,100,48,1,1
11,97,48,1,1
11,89,15,2,0
11,70,15,2,0
11,68,42,2,0
11,90,9,2,0
11,78,36,2,0
11,90,48,1,1
7,100,54,2,1
11,91,42,2,1
11,75,48,0,1
11,100,48,1,1
11,73,42,1,1
11,86,33,2,0
11,93,42,2,1
11,87,24,2,0
13,85,33,2,0
11,100,24,2,0
11,86,48,2,1
11,82,42,1,1
11,72,15,2,0
11,87,15,2,0
13,89,36,2,1
11,100,54,0,1
11,80,42,2,1
11,79,36,1,0
6,86,42,1,1
11,100,48,0,1
11,94,15,2,0
11,100,36,2,1
11,83,36,0,0
11,79,24,2,0
11,82,21,2,0
6,64,36,2,0
13,74,9,2,0
5,96,24,2,0
11,67,42,1,0
11,88,27,0,0
5,96,27,2,0
11,100,54,0,1
11,100,54,0,1
6,96,36,0,1
5,96,48,1,1
13,81,15,2,0
11,100,54,0,1
11,82,42,0,1
11,79,15,0,0
11,84,24,2,0
11,96,30,2,0
13,89,27,0,0
11,68,30,2,0
13,98,18,2,0
13,72,27,2,0
11,100,48,0,1
11,94,36,2,1
11,88,15,0,0
6,98,42,0,1
11,93,42,1,1
11,100,54,0,1
11,84,36,2,1
11,62,21,2,0
13,90,6,0,0
11,75,12,2,0
11,100,48,1,1
11,87,42,1,1
13,100,30,2,1
11,84,48,0,1
11,81,15,2,0
7,85,24,2,0
13,92,36,2,1
13,86,27,2,0
11,86,48,1,1
13,80,6,0,0
11,62,15,2,0
6,65,27,2,0
11,77,36,2,0
13,74,42,1,1
11,68,36,2,0
11,95,9,2,0
5,100,42,1,1
6,96,48,0,1
11,63,15,2,0
11,94,42,0,1
11,86,21,0,0
11,84,42,2,1
11,91,42,2,1
5,100,54,0,1
5,83,30,1,0
11,78,48,3,1
5,78,24,2,0
11,89,42,2,1
11,100,54,0,1
5,65,36,2,0
11,68,30,2,0
5,81,36,1,0
11,74,42,2,1
11,86,30,2,0
13,86,36,0,1
13,100,42,1,1
11,82,18,2,0
11,100,48,0,1
13,75,9,1,0
11,90,36,2,1
11,80,24,2,0
11,100,30,2,1
9,73,6,0,0
11,96,36,1,1
6,67,42,2,0
11,100,48,1,1
13,70,9,2,0
11,64,15,2,0
11,82,48,1,1
11,80,42,2,1
7,60,24,2,0
11,70,21,2,0
13,83,36,2,0
11,65,36,2,0
11,85,42,2,1
13,87,48,2,1
13,76,42,2,1
6,48,21,0,0
11,97,9,0,0
11,72,21,2,0
8,69,6,0,0
11,97,36,1,1
13,80,30,2,0
11,84,18,2,0
13,78,21,2,0
11,73,9,0,0
11,100,54,0,1
11,100,36,0,1
12,89,54,0,1
11,80,48,1,1
11,100,48,0,1
11,91,33,0,0
11,100,54,0,1
11,80,42,0,1
11,100,54,0,1
7,95,54,0,1
11,100,54,0,1
11,78,42,1,1
11,75,9,1,0
11,83,42,1,1
11,100,54,0,1
11,82,48,1,1
11,89,54,0,1
11,80,54,0,1
11,88,54,0,1
11,100,48,1,1
11,68,33,0,0
7,100,42,1,1
11,86,54,0,1
11,100,48,0,1
11,100,54,0,1
11,90,36,1,1
11,74,48,1,1
11,100,54,0,1
11,85,9,1,0
11,100,54,0,1
7,93,42,1,1
11,87,54,0,1
11,100,42,1,1
11,94,48,1,1
11,65,48,1,1
5,93,54,0,1
5,83,54,0,1
11,98,48,0,1
11,70,54,0,1
11,67,30,0,0
11,100,54,0,1
11,100,54,0,1
5,80,48,0,1
11,100,54,0,1
11,100,54,0,1
11,68,48,1,1
11,96,54,0,1
11,64,9,0,0
11,70,30,1,0
11,90,42,0,1
11,100,54,0,1
11,98,15,0,0
11,100,54,0,1
13,95,42,1,1
11,74,6,1,0
7,86,36,0,1
11,66,18,0,0
11,80,36,1,0
11,95,48,0,1
11,77,6,0,0
6,92,36,1,1
13,100,54,0,1
5,91,54,0,1
11,86,30,1,0
11,82,36,1,0
11,76,42,0,1
11,100,36,0,1
11,82,42,1,1
11,78,54,0,1
13,80,42,0,1
11,100,48,1,1
5,100,48,1,1
11,82,48,0,1
11,77,15,1,0
7,90,54,1,1
11,60,54,1,1
11,100,21,0,0
11,80,36,1,0
5,85,48,1,1
11,88,54,0,1
5,85,33,1,0
11,79,42,0,1
5,96,42,1,1
11,80,30,1,0
11,90,54,0,1
11,95,57,2,1
11,78,48,1,1
5,100,15,0,0
13,100,30,1,1
13,83,36,1,0
11,91,48,0,1
13,98,48,1,1
11,88,24,1,0
11,90,48,1,1
11,66,15,1,0
11,91,27,1,0
11,90,42,1,1
11,100,54,0,1
11,80,36,1,0
11,68,9,0,0
11,80,36,0,0
11,100,42,1,1
11,83,36,0,0
11,80,36,0,0
13,98,54,1,1
13,75,6,0,0
11,83,36,1,0
13,100,48,0,1
11,66,24,1,0
11,96,42,1,1
13,80,30,1,0
11,76,54,0,1
11,100,54,1,1
11,100,15,0,0
11,80,48,0,1
11,80,36,0,0
13,85,36,1,1
6,60,9,1,0
11,100,48,0,1
11,100,42,1,1
11,70,30,1,0
11,98,42,0,1
11,73,9,1,0
11,100,54,0,1
11,82,42,1,1
11,100,48,0,1
11,65,36,1,0
11,100,42,1,1
11,87,54,0,1
13,95,48,1,1
11,84,30,1,0
11,76,42,0,1
11,83,9,0,0
6,67,30,1,0
10,85,54,1,1
11,80,48,1,1
13,100,15,1,0
11,87,21,1,0
11,100,54,0,1
11,93,42,0,1
6,80,27,1,0
11,87,48,1,1
11,84,24,0,0
11,100,42,1,1
5,100,42,0,1
7,96,36,1,1
11,94,48,1,1
7,72,30,1,0
11,65,12,0,0
11,70,18,0,0
11,77,42,1,1
13,95,36,1,1
11,70,9,1,0
13,86,42,1,1
11,100,54,0,1
11,90,42,1,1
11,96,42,0,1
11,66,15,0,0
11,85,48,1,1
13,94,54,0,1
11,96,48,1,1
11,95,36,1,1
11,94,48,1,1
11,100,36,1,1
5,100,36,1,1
11,86,54,0,1
11,100,48,1,1
11,85,42,1,1
11,88,54,0,1
13,91,33,2,0
13,75,36,1,0
11,100,42,1,1
6,95,48,1,1
7,100,42,1,1
11,100,54,0,1
7,88,9,0,0
13,75,48,1,1
11,68,42,1,0
11,100,42,1,1
11,75,30,1,0
11,75,36,1,0
11,82,48,1,1
11,91,42,0,1
11,85,24,1,0
13,94,42,1,1
11,88,57,2,1
11,98,24,1,0
11,75,18,1,0
11,90,36,1,1
5,80,18,1,0
11,73,30,0,0
11,82,6,0,0
8,72,33,1,0
11,83,54,1,1
11,89,36,1,1
11,100,42,1,1
11,98,42,0,1
11,80,9,0,0
11,75,48,0,1
3,86,42,1,1
11,97,54,0,1
11,80,54,0,1
11,86,48,0,1
11,60,42,0,0
7,70,21,0,0
13,100,48,0,1
11,100,54,0,1
11,80,42,0,1
13,94,54,0,1
11,63,42,0,0
11,100,54,0,1
11,97,42,0,1
11,82,54,0,1
7,88,54,0,1
11,100,54,0,1
11,100,54,0,1
6,95,54,0,1
11,98,54,0,1
7,100,6,0,0
11,86,54,0,1
13,80,33,0,0
11,98,48,0,1
11,91,21,0,0
6,94,54,0,1
11,97,54,0,1
11,92,54,0,1
11,100,54,0,1
11,80,39,0,1
11,100,54,0,1
11,90,54,0,1
13,72,18,0,0
7,73,42,0,1
11,94,54,0,1
11,98,54,0,1
11,100,54,0,1
11,95,54,0,1
7,88,54,0,1
11,98,54,0,1
11,98,39,0,1
11,87,54,0,1
11,83,42,0,1
11,80,48,0,1
7,72,54,0,1
11,77,48,0,1
5,100,48,0,1
11,86,54,0,1
11,94,39,0,1
11,80,24,0,0
11,100,54,0,1
11,97,54,0,1
11,81,54,0,1
11,82,15,0,0
11,93,54,0,1
11,71,18,0,0
11,74,48,0,1
11,100,48,0,1
5,100,54,0,1
11,94,54,0,1
11,83,54,0,1
11,98,54,0,1
11,86,21,0,0
11,100,42,0,1
11,100,54,0,1
11,64,42,0,0
6,95,54,0,1
11,85,6,0,0
11,87,21,0,0
11,84,48,0,1
6,88,42,0,1
11,81,54,0,1
11,90,42,0,1
7,84,24,0,0
11,100,54,0,1
11,100,48,0,1
11,100,48,0,1
13,91,30,0,0
6,83,27,0,0
13,74,54,0,1
13,100,39,0,1
11,92,54,0,1
13,79,15,0,0
11,67,6,0,0
13,90,24,0,0
13,70,15,0,0
11,92,54,0,1
11,68,18,0,0
11,100,12,0,0
11,87,54,0,1
11,82,54,0,1
11,90,18,0,0
11,70,9,0,0
11,100,54,0,1
11,100,54,0,1
7,60,30,0,0
11,100,54,0,1
11,86,42,0,1
11,97,54,0,1
11,94,54,0,1
11,100,54,0,1
13,98,42,0,1
11,88,54,0,1
12,100,54,0,1
5,67,6,0,0
11,100,48,0,1
11,100,54,0,1
11,94,48,0,1
5,96,36,1,1
11,80,48,0,1
11,100,30,0,1
11,100,45,0,1
11,96,54,0,1
11,95,54,0,1
8,80,12,0,0
11,80,54,0,1
11,91,21,0,0
11,98,48,0,1
11,100,48,0,1
13,100,6,0,0
11,82,54,0,1
11,100,54,0,1
5,86,21,0,0
11,85,30,0,0
11,80,54,0,1
11,95,48,0,1
8,73,39,0,0
11,100,27,0,0
11,95,54,0,1
11,88,54,0,1
11,86,48,0,1
11,100,48,0,1
11,100,54,0,1
13,86,54,0,1
11,90,45,0,1
11,94,54,0,1
11,97,48,0,1
13,96,21,0,0
11,96,54,0,1
13,84,24,0,0
11,94,54,0,1
11,70,54,0,1
11,100,54,0,1
11,81,30,0,0
11,68,30,0,0
11,90,48,0,1
13,89,18,0,0
11,74,42,0,1
5,85,48,0,1
6,100,30,0,1
6,81,48,0,1
11,100,54,0,1
11,90,54,0,1
11,72,21,0,0
11,70,6,0,0
7,80,42,0,1
11,100,54,0,1
11,75,48,0,1
11,95,54,0,1
13,80,39,0,1
5,86,42,0,1
11,100,48,0,1
11,88,54,0,1
11,76,54,0,1
11,80,30,0,0
11,73,6,0,0
11,90,48,0,1
13,92,42,0,1
11,100,48,0,1
11,87,48,0,1
13,88,54,0,1
11,90,48,0,1
11,85,36,0,1
11,88,54,0,1
11,95,54,0,1
11,100,54,0,1
11,96,54,0,1
11,100,54,0,1
11,100,54,0,1
13,88,48,0,1
11,68,12,0,0
11,100,36,0,1
11,96,42,0,1
11,100,54,0,1
7,86,39,0,1
11,80,33,0,0
11,73,51,0,1
11,74,33,0,0
11,100,36,0,1
11,100,54,0,1
11,100,6,1,0
13,93,15,0,0
11,100,54,0,1
11,100,21,0,0
13,44,24,2,0
13,99,15,0,0
13,96,45,1,1
11,82,42,0,1
11,92,48,0,1
11,81,54,0,1
11,60,6,0,0
11,100,54,0,1
11,77,54,0,1
11,66,6,0,0
11,98,18,0,0
11,86,42,1,1
13,86,41,0,1
11,100,47,0,1
11,90,53,0,1
11,78,53,0,1
11,100,47,0,1
11,100,53,0,1
5,100,3,0,0
11,70,32,0,0
11,65,53,0,1
11,100,53,0,1
11,87,21,0,0
11,100,53,0,1
13,100,53,0,1
13,99,38,0,1
11,100,53,0,1
11,100,53,0,1
5,83,53,0,1
13,80,32,0,0
11,98,53,0,1
11,84,50,0,1
11,74,53,0,1
5,100,53,0,1
11,100,53,0,1
11,95,41,0,1
5,88,3,0,0
11,88,38,0,1
11,94,53,0,1
11,84,53,0,1
13,72,38,0,0
11,75,44,0,1
11,88,53,0,1
11,96,53,0,1
13,98,47,0,1
11,75,20,0,0
11,73,53,0,1
11,74,3,0,0
13,80,6,0,0
11,97,47,0,1
11,84,53,0,1
11,98,53,0,1
11,76,53,0,1
13,100,26,0,0
11,90,53,0,1
11,80,53,0,1
11,81,53,0,1
11,100,53,0,1
11,98,53,0,1
11,100,53,0,1
11,81,53,0,1
11,100,33,0,1
11,76,35,0,0
11,76,53,0,1
11,75,8,0,0
11,95,53,0,1
5,83,53,0,1
11,94,41,0,1
12,100,53,0,1
13,100,47,0,1
13,91,53,0,1
11,73,47,0,1
11,96,47,0,1
11,100,41,0,1
11,68,14,0,0
11,100,53,0,1
11,100,53,0,1
11,85,44,0,1
11,98,53,0,1
11,100,45,0,1
11,100,45,0,1
11,100,53,0,1
11,75,38,0,0
11,100,53,0,1
11,100,53,0,1
11,85,53,0,1
11,95,53,0,1
5,90,47,0,1
11,96,53,0,1
11,80,39,0,1
11,86,35,0,0
11,80,32,0,0
11,100,53,0,1
11,72,9,0,0
11,83,53,0,1
11,80,14,0,0
5,86,35,0,0
11,70,35,0,0
11,80,18,0,0
6,94,38,0,1
11,100,53,0,1
11,85,53,0,1
11,100,50,0,1
13,90,38,0,1
11,98,53,0,1
11,100,53,0,1
11,80,29,0,0
11,88,35,0,1
11,80,32,0,0
11,60,3,0,0
13,87,53,0,1
11,70,9,0,0
13,85,47,0,1
13,75,35,0,0
13,87,20,0,0
11,84,32,0,0
11,85,32,0,0
13,81,47,0,1
11,74,41,0,1
