TipoMaturità,VotoDiploma,CFU1,AnniFuoriCorso,Cluster
11,82,39,0,1
13,84,24,0,0
11,100,42,0,1
5,100,42,0,1
11,98,42,0,1
11,80,42,0,1
11,94,39,0,1
11,73,18,0,0
11,100,42,0,1
11,77,27,0,0
11,100,36,0,1
7,90,27,0,0
11,87,39,0,1
11,98,39,0,1
11,98,42,0,1
11,86,48,0,1
11,95,33,0,1
11,92,48,0,1
13,94,27,0,0
11,100,27,0,0
7,87,33,0,0
11,86,27,0,0
11,100,48,0,1
13,64,42,0,0
13,96,33,0,1
11,94,42,0,1
11,97,33,0,1
13,94,33,0,1
11,95,33,0,1
13,91,24,0,0
12,88,24,0,0
11,85,42,0,1
11,81,18,0,0
11,100,42,0,1
11,100,42,0,1
13,87,36,0,1
11,96,42,0,1
11,90,27,0,0
11,75,48,0,1
11,100,18,0,0
13,97,27,0,0
11,88,39,0,1
11,90,48,0,1
11,100,42,0,1
11,100,33,0,1
13,73,18,0,0
11,100,27,0,0
11,82,39,0,1
11,100,33,0,1
5,100,42,0,1
11,87,42,0,1
11,78,21,0,0
11,100,42,0,1
11,94,48,0,1
11,80,42,0,1
11,78,24,0,0
11,99,21,0,0
7,99,48,0,1
11,90,48,0,1
5,99,36,0,1
5,95,30,0,0
11,100,42,0,1
5,100,42,0,1
5,100,33,0,1
11,100,42,0,1
8,100,21,0,0
11,100,30,0,1
11,87,18,0,0
11,83,30,0,0
11,100,36,0,1
11,87,42,0,1
11,70,6,0,0
13,79,18,0,0
11,86,27,0,0
11,100,33,0,1
11,97,39,0,1
11,89,24,0,0
