'Matr','CF','1','2','3','tot','CDS','Tipo_CDS','Coorte','Anni_Carriera','ANNO_DIPLOMA','VOTO_DIPLOMA','CODICE_MECCANOGRAFICO','TIPO_MATURITA','ANNO_ACCADEMICO_LAUREA','VOTO_LAUREA','Erasmus','TESI_ESTERO','STATO_STUDENTE','MOTIVO_STATO_STUDENTE','FC','CLASSE'
285,1317,15,27,36,78,612,3,2013,3,2013,82,265,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
286,4839,27,-1,-1,27,612,3,2013,3,2013,87,254,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
287,122,15,-1,-1,15,612,3,2013,2,2013,100,60,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
288,4756,39,15,18,72,612,3,2013,3,2012,76,94,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
289,445,54,18,69,141,612,3,2013,3,2012,91,35,'Scientifica',2017,98,0,0,'Cessato','Laureato',1,11
296,4802,48,36,45,129,612,3,2013,3,2013,97,52,'Scientifica',2016,100,0,0,'Cessato','Laureato',1,11
299,2458,36,24,6,66,612,3,2013,3,2013,80,213,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
300,1783,15,-1,-1,15,612,3,2013,2,2013,80,81,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
301,4908,48,60,72,180,612,3,2013,3,2013,87,157,'Tecnico',2015,98,0,0,'Cessato','Laureato',0,13
302,3251,15,-1,-1,15,612,3,2013,1,2013,100,81,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
304,1582,48,36,63,147,612,3,2013,3,2013,90,52,'Scientifica',2016,98,0,0,'Cessato','Laureato',1,11
305,2451,48,48,81,177,612,3,2013,3,2013,90,58,'Classica',2016,101,0,0,'Cessato','Laureato',1,5
306,719,54,42,84,180,612,3,2013,3,2013,100,11,'Scientifica',2015,106,0,0,'Cessato','Laureato',0,11
307,2132,48,60,72,180,612,3,2013,3,2013,100,117,'Classica',2015,111,0,0,'Cessato','Laureato',0,5
309,3178,24,30,30,84,612,3,2013,3,2013,78,167,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
310,668,54,54,72,180,612,3,2013,3,2013,85,201,'Scientifica',2015,94,0,0,'Cessato','Laureato',0,11
313,4886,48,24,60,132,612,3,2013,3,2013,67,159,'Scientifica',2017,96,0,0,'Cessato','Laureato',1,11
314,3218,27,33,24,84,612,3,2013,3,2012,70,207,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
318,4601,27,9,18,54,612,3,2013,3,2012,92,144,'Classica',0,0,0,0,'Attivo','PASSAGGIO',1,5
322,3523,18,6,12,36,612,3,2014,3,2014,66,186,'Geometra',0,0,0,0,'Sospeso','Trasferimento-Uscita',1,6
323,3671,60,60,60,180,612,3,2014,3,2014,94,300,'Scientifica',2016,109,0,0,'Cessato','Laureato',0,11
