"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[""'Scientifica'"", 78, 1054]"
"[""'Geometra'"", 94, 1042]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 80, 1012]"
"[""'Scientifica'"", 100, 1054]"
"[""'Classica'"", 91, 1012]"
"[""'Scientifica'"", 90, 1054]"
"[""'Scientifica'"", 98, 1048]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 85, 1054]"
"[""'Tecnico'"", 90, 1042]"
"[""'Scientifica'"", 90, 1054]"
"[""'Scientifica'"", 80, 1054]"
"[""'Scientifica'"", 78, 1054]"
"[""'Scientifica'"", 92, 1054]"
"[""'Scientifica'"", 98, 1054]"
"[""'Classica'"", 100, 1060]"
"[""'Scientifica'"", 89, 1033]"
"[""'Scientifica'"", 86, 1015]"
"[""'Scientifica'"", 93, 1054]"
"[""'Scientifica'"", 80, 1009]"
"[""'Agrario'"", 93, 1006]"
"[""'Liceo-Europeo'"", 86, 1054]"
"[""'Classica'"", 81, 1033]"
"[""'Scientifica'"", 91, 1036]"
"[""'Scientifica'"", 91, 1048]"
"[""'Scientifica'"", 73, 1036]"
"[""'Scientifica'"", 97, 1054]"
"[""'Scientifica'"", 94, 1060]"
"[""'Tecnico'"", 71, 1006]"
"[""'Tecnico'"", 86, 1042]"
"[""'Liceo-Europeo'"", 95, 1033]"
"[""'Scientifica'"", 70, 1054]"
"[""'Scientifica'"", 66, 1042]"
"[""'Classica'"", 95, 1024]"
"[""'Scientifica'"", 80, 1036]"
"[""'Linguistico'"", 90, 1054]"
"[""'Scientifica'"", 78, 1033]"
"[""'Scientifica'"", 82, 1054]"
"[""'Scientifica'"", 96, 1060]"
"[""'Liceo-Europeo'"", 100, 1054]"
"[""'Scientifica'"", 80, 1030]"
"[""'Liceo-Europeo'"", 82, 1054]"
"[""'Scientifica'"", 93, 1054]"
"[""'Linguistico'"", 80, 1036]"
"[""'Scientifica'"", 86, 1054]"
"[""'Scientifica'"", 90, 1015]"
"[""'Scientifica'"", 93, 1009]"
"[""'Scientifica'"", 100, 1060]"
"[""'Classica'"", 95, 1048]"
"[""'Scientifica'"", 100, 1048]"
"[""'Classica'"", 86, 1009]"
"[""'Scientifica'"", 76, 1042]"
"[""'Liceo-Europeo'"", 92, 1048]"
"[""'Scientifica'"", 83, 1054]"
"[""'Scientifica'"", 85, 1015]"
"[""'Scientifica'"", 88, 1042]"
"[""'Classica'"", 90, 1060]"
"[""'Scientifica'"", 73, 1054]"
"[""'Classica'"", 85, 1048]"
"[""'Scientifica'"", 82, 1054]"
"[""'Tecnico'"", 92, 1075]"
"[""'Scientifica'"", 78, 1033]"
"[""'Scientifica'"", 87, 1033]"
"[""'Scientifica'"", 97, 1048]"
"[""'Scientifica'"", 78, 1054]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 71, 1042]"
"[""'Scientifica'"", 100, 1060]"
"[""'Classica'"", 96, 1060]"
"[""'Tecnico'"", 74, 1060]"
"[""'Classica'"", 100, 1060]"
"[""'Tecnico'"", 99, 1018]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 92, 1060]"
"[""'Scientifica'"", 95, 1060]"
"[""'Scientifica'"", 96, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 96, 1060]"
"[""'Tecnico'"", 80, 1042]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 91, 1054]"
"[""'Scientifica'"", 72, 1042]"
"[""'Geometra'"", 77, 1030]"
"[""'Scientifica'"", 97, 1054]"
"[""'Tecnico'"", 100, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 93, 1054]"
"[""'Liceo-Europeo'"", 88, 1060]"
"[""'Scientifica'"", 92, 1054]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 83, 1054]"
"[""'Classica'"", 100, 1054]"
"[""'Scientifica'"", 87, 1054]"
"[""'Scientifica'"", 88, 1060]"
"[""'Scientifica'"", 75, 1042]"
"[""'Tecnico'"", 96, 1060]"
"[""'Scientifica'"", 89, 1054]"
"[""'Scientifica'"", 60, 1006]"
"[""'Scientifica'"", 86, 1033]"
"[""'Scientifica'"", 82, 1054]"
"[""'Scientifica'"", 78, 1042]"
"[""'Scientifica'"", 86, 1054]"
"[""'Agrario'"", 90, 1054]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 97, 1054]"
"[""'Scientifica'"", 89, 1060]"
"[""'Tecnico'"", 80, 1015]"
"[""'Scientifica'"", 82, 1042]"
"[""'Linguistico'"", 83, 1028]"
