"Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC"
"[4322, 'A1020', 45, 45, 30, 120, '06222', 2, 2013, 2, 2008, 90, 'SAPS120003', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4323, 'A4736', 51, 69, 0, 120, '06222', 2, 2013, 2, 2010, 92, 'SAPS020006', 'Scientifica', 2014, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4324, 'A319', 51, 69, 0, 120, '06222', 2, 2013, 2, 2010, 100, 'SAPS18000P', 'Scientifica', 2014, 111, 1, 1, 'Cessato', 'Laureato', 0]"
"[4325, 'A4938', 45, 51, 24, 120, '06222', 2, 2013, 2, 2009, 100, 'AVPC05000N', 'Classica', 2015, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4326, 'A3336', 57, 52, 17, 126, '06222', 2, 2013, 2, 2010, 100, 'SAPS020006', 'Scientifica', 2015, 111, 1, 0, 'Cessato', 'Laureato', 1]"
"[4327, 'A3465', 51, 24, 51, 126, '06222', 2, 2013, 2, 2010, 100, 'SAPS08000T', 'Scientifica', 2015, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4328, 'A2769', 39, 81, 0, 120, '06222', 2, 2013, 2, 2009, 100, 'SAPS06000L', 'Scientifica', 2014, 111, 1, 1, 'Cessato', 'Laureato', 0]"
"[4329, 'A9', 51, 58, 17, 126, '06222', 2, 2013, 2, 2010, 92, 'SAPC12000X', 'Classica', 2015, 111, 1, 0, 'Cessato', 'Laureato', 1]"
"[4330, 'A3252', 45, 57, 18, 120, '06222', 2, 2013, 2, 2010, 93, 'SAPS020006', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4331, 'A166', 45, 75, 0, 120, '06222', 2, 2013, 2, 2010, 71, 'SAPS170004', 'Scientifica', 2014, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4332, 'A4335', 33, 63, 24, 120, '06222', 2, 2013, 2, 2009, 100, 'SAPS09000C', 'Scientifica', 2015, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4333, 'A190', 39, 39, 47, 125, '06222', 2, 2013, 2, 2008, 80, 'SAPS11000C', 'Classica', 2015, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4334, 'A3628', 33, 36, 51, 120, '06222', 2, 2013, 2, 2009, 91, 'SAPC12000X', 'Classica', 2015, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4335, 'A3929', 24, 30, 48, 102, '06222', 2, 2013, 2, 2006, 92, 'SAPS04000B', 'Scientifica', 2016, 110, 0, 0, 'Cessato', 'Laureato', 2]"
"[4336, 'A1264', 24, 54, 42, 120, '06222', 2, 2013, 2, 2005, 82, 'SAPC040008', 'Classica', 2015, 110, 0, 0, 'Cessato', 'Laureato', 1]"
"[4337, 'A4337', 24, 45, 33, 102, '06222', 2, 2013, 2, 2007, 72, 'SAPS09000C', 'Scientifica', 2016, 109, 0, 0, 'Cessato', 'Laureato', 2]"
"[4338, 'A4878', 39, 63, 18, 120, '06222', 2, 2013, 2, 2010, 98, 'BNPS003014', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4339, 'A891', 27, 57, 36, 120, '06222', 2, 2013, 2, 2010, 92, 'SAPS06000L', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 1]"
