Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC,CLASSE
1293,'A1850',15,-1,-1,15,'06123',3,2013,2,2013,84,'NAPS12000L','Liceo-Europeo',0,0,0,0,'Cessato','Rinuncia',0,1
1294,'A1989',30,18,39,87,'06123',3,2013,3,2013,91,'SAPS01102D','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1296,'A4852',6,6,-1,12,'06123',3,2013,3,2013,90,'AVPM040007','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1297,'A1492',15,27,21,63,'06123',3,2013,3,2013,75,'SAPS120003','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1299,'A3068',15,6,21,42,'06123',3,2013,3,2013,89,'BNIS02400P','Tecnico',0,0,0,0,'Attivo','Immatricolazione',3,2
1301,'A1392',18,18,12,48,'06123',3,2013,3,2013,85,'SAPC06000D','Classica',0,0,0,0,'Sospeso','Trasferimento-Uscita',1,2
1302,'A1554',54,39,60,153,'06123',3,2013,3,2013,95,'SAPS08000T','Scientifica',2016,111,0,0,'Cessato','Laureato',1,3
1303,'A3142',48,45,48,141,'06123',3,2013,3,2013,83,'AVPS06000B','Scientifica',2016,104,0,0,'Cessato','Laureato',1,3
1305,'A4247',9,-1,-1,9,'06123',3,2013,3,2013,87,'SAPS06000L','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1306,'A407',48,51,54,153,'06123',3,2013,3,2013,89,'AVPS12000T','Scientifica',2016,96,0,0,'Cessato','Laureato',1,3
1307,'A686',15,9,-1,24,'06123',3,2013,2,2013,87,'SAPS15000V','Scientifica',0,0,0,0,'Sospeso','Trasferimento-Uscita',0,3
1309,'A977',54,57,69,180,'06123',3,2013,3,2013,85,'AVPS12000T','Scientifica',2015,107,0,0,'Cessato','Laureato',0,3
1311,'A4956',30,6,18,54,'06123',3,2013,3,2011,70,'SAPS18000P','Scientifica',0,0,0,0,'Cessato','Rinuncia',3,3
1312,'A4830',21,9,24,54,'06123',3,2013,3,2013,84,'SAPS08000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1313,'A2664',6,-1,-1,6,'06123',3,2013,2,2012,88,'NAPS02000Q','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1315,'A2821',30,33,24,87,'06123',3,2013,3,2012,80,'SAPS04000B','Scientifica',2017,95,0,0,'Cessato','Laureato',2,3
1316,'A4786',15,-1,-1,15,'06123',3,2013,1,2013,80,'LTPS030006','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1317,'A4374',33,18,21,72,'06123',3,2013,3,2013,87,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1318,'A120',48,45,54,147,'06123',3,2013,3,2013,92,'AVPS12000T','Scientifica',2016,102,0,0,'Cessato','Laureato',1,3
1319,'A3518',48,27,12,87,'06123',3,2013,3,2012,92,'AVPC05000N','Classica',0,0,0,0,'Attivo','Immatricolazione',3,2
1320,'A2853',15,-1,-1,15,'06123',3,2013,2,2007,77,'SAPS020006','Scientifica',0,0,0,0,'Cessato','Decadenza',0,3
1322,'A1994',24,27,30,81,'06123',3,2013,3,2013,84,'BNPM02000T','Scientifica',0,0,0,1,'Attivo','Immatricolazione',3,3
1323,'A1452',15,-1,-1,15,'06123',3,2013,3,2013,94,'SAPC06000D','Classica',0,0,0,0,'Cessato','Rinuncia',0,2
1324,'A1897',36,33,30,99,'06123',3,2013,3,2013,74,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1327,'A314',6,24,6,36,'06123',3,2013,3,2013,75,'SAPS01000G','Liceo-Europeo',0,0,0,0,'Attivo','Immatricolazione',3,1
1328,'A4962',9,21,12,42,'06123',3,2013,3,2012,72,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1330,'A2946',36,24,87,147,'06123',3,2013,3,2013,87,'SAPS020006','Scientifica',2016,92,0,0,'Cessato','Laureato',1,3
1331,'A391',15,-1,15,30,'06123',3,2013,3,2013,80,'NAPC080008','Classica',0,0,0,0,'Attivo','Immatricolazione',3,2
1332,'A2818',15,9,12,36,'06123',3,2013,3,2013,83,'SAPS10000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1335,'A3672',30,15,30,75,'06123',3,2013,3,2012,61,'SAPM11000D','Socio-Psico-Pedagogico',0,0,0,0,'Attivo','Immatricolazione',3,1
1339,'A620',9,6,-1,15,'06123',3,2013,3,2012,64,'SAPS15000V','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',1,3
1340,'A1289',9,-1,-1,9,'06123',3,2013,1,2012,76,'SAPS04000B','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1345,'A812',42,27,66,135,'06123',3,2013,3,2013,86,'NAPS12000L','Scientifica',2016,95,0,0,'Cessato','Laureato',1,3
1348,'A4107',48,51,54,153,'06123',3,2014,3,2014,100,'SAPS11000C','Scientifica',2017,103,0,0,'Cessato','Laureato',1,3
1349,'A3923',54,57,69,180,'06123',3,2014,3,2014,100,'CEPS110004','Scientifica',2016,111,0,0,'Cessato','Laureato',0,3
1350,'A3926',42,18,12,72,'06123',3,2014,3,2014,97,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1351,'A3946',54,57,69,180,'06123',3,2014,3,2014,100,'SAPS06000L','Scientifica',2016,111,0,0,'Cessato','Laureato',0,3
1352,'A1213',42,27,48,117,'06123',3,2014,3,2014,86,'BNPS011024','Scientifica',2017,94,0,0,'Cessato','Laureato',1,3
1353,'A3661',54,51,48,153,'06123',3,2014,3,2014,100,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1355,'A671',9,15,24,48,'06123',3,2014,3,2014,81,'AVPC05000N','Classica',0,0,0,0,'Attivo','Immatricolazione',2,2
1356,'A614',36,6,45,87,'06123',3,2014,3,2014,90,'SAIS011002','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1357,'A2878',36,39,24,99,'06123',3,2014,3,2014,87,'SAPM020007','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1358,'A2483',15,27,45,87,'06123',3,2014,3,2014,63,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1359,'A4419',54,57,69,180,'06123',3,2014,3,2014,90,'SATF04000D','Tecnico',2016,111,0,0,'Cessato','Laureato',0,2
1361,'A4775',36,27,36,99,'06123',3,2014,3,2014,95,'AVTL02802X','Geometra',0,0,0,0,'Attivo','Immatricolazione',2,2
1362,'A1363',48,57,75,180,'06123',3,2014,3,2014,95,'SAPS10000T','Scientifica',2016,107,0,0,'Cessato','Laureato',0,3
1363,'A3994',21,18,21,60,'06123',3,2014,3,2014,65,'NAPS01301N','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1364,'A4898',48,63,69,180,'06123',3,2014,3,2014,100,'SAPS04401Q','Scientifica',2016,105,0,0,'Cessato','Laureato',0,3
1365,'A4589',48,45,72,165,'06123',3,2014,3,2014,85,'SAPS020006','Scientifica',2017,97,0,0,'Cessato','Laureato',1,3
1366,'A1186',54,57,69,180,'06123',3,2014,3,2014,96,'SAPC10000P','Scientifica',2016,111,0,0,'Cessato','Laureato',0,3
1367,'A4320',42,36,21,99,'06123',3,2014,3,2014,97,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1368,'A471',42,-1,24,66,'06123',3,2014,3,2014,100,'SAPS056012','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1369,'A1089',21,27,18,66,'06123',3,2014,3,2014,68,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1370,'A1233',42,51,87,180,'06123',3,2014,3,2014,90,'SAPS170004','Scientifica',2016,98,0,0,'Cessato','Laureato',0,3
1371,'A1074',24,21,60,105,'06123',3,2014,3,2014,85,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1372,'A1347',6,-1,-1,6,'06123',3,2014,3,2014,93,'SAPS03000R','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1373,'A3096',15,-1,-1,15,'06123',3,2014,2,2014,66,'AVVC01000E','Classica',0,0,0,0,'Cessato','Rinuncia',0,2
1374,'A3940',24,18,45,87,'06123',3,2014,3,2014,97,'SAPM020007','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1375,'A1308',48,45,48,141,'06123',3,2014,3,2014,100,'SAPS09000C','Scientifica',2017,102,0,0,'Cessato','Laureato',1,3
1376,'A2354',48,51,78,177,'06123',3,2014,3,2014,91,'SAPS020006','Scientifica',2017,100,0,0,'Cessato','Laureato',1,3
1378,'A4470',36,-1,12,48,'06123',3,2014,3,2014,78,'AVPC02000T','Classica',0,0,0,0,'Attivo','Immatricolazione',2,2
1379,'A796',42,45,66,153,'06123',3,2014,3,2014,94,'PZPS00101N','Scientifica',2017,99,0,0,'Cessato','Laureato',1,3
1380,'A843',6,-1,-1,6,'06123',3,2014,1,2014,65,'AVPS06000B','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1382,'A1365',42,21,24,87,'06123',3,2014,3,2014,100,'AVPM040007','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1383,'A1993',30,33,30,93,'06123',3,2014,3,2014,83,'SAPS18000P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
