Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC,CLASSE
2192,'A539',45,12,-1,57,'06123',3,2016,3,2011,83,'SAIS02600Q','Scientifica',0,0,0,0,'Attivo','Trasf_in_ingresso',0,3
2193,'A1263',53,6,-1,59,'06123',3,2017,2,2017,100,'NAIS03600X','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2194,'A409',47,-1,-1,47,'06123',3,2017,2,2017,73,'NAPS12000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2195,'A590',53,6,-1,59,'06123',3,2017,2,2017,80,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2196,'A2182',41,-1,-1,41,'06123',3,2017,2,2017,85,'AVPC05000N','Classica',0,0,0,0,'Attivo','Immatricolazione',0,2
2197,'A2612',20,-1,-1,20,'06123',3,2017,1,2017,72,'NAPS180008','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2198,'A893',11,-1,-1,11,'06123',3,2017,2,2017,96,'SAIS00100B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2199,'A4145',47,-1,-1,47,'06123',3,2017,2,2017,82,'SAPS120003','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2200,'A1036',47,12,-1,59,'06123',3,2017,2,2017,100,'CBTF01000D','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2201,'A2550',35,-1,-1,35,'06123',3,2017,2,2017,84,'SAPS120003','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2202,'A3286',32,-1,-1,32,'06123',3,2017,2,2017,70,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2203,'A2221',32,-1,-1,32,'06123',3,2017,2,2016,78,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2204,'A1466',47,-1,-1,47,'06123',3,2017,2,2017,88,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2205,'A3020',47,-1,-1,47,'06123',3,2017,2,2017,98,'SAPS18000P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2206,'A2775',96,-1,-1,96,'06123',3,2015,3,2008,98,'SAPS09000C','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
2207,'A1612',8,-1,-1,8,'06123',3,2017,2,2016,75,'PZTA014015','Agrario',0,0,0,0,'Attivo','Immatricolazione',0,1
2208,'A1469',17,-1,-1,17,'06123',3,2017,2,2017,83,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2209,'A3086',8,-1,-1,8,'06123',3,2017,1,2017,74,'SAPC12000X','Classica',0,0,0,0,'Cessato','Rinuncia',0,2
2211,'A976',33,6,-1,39,'06123',3,2016,3,2016,89,'SARI13000V','Tecnico',0,0,0,0,'Attivo','PASSAGGIO',0,2
2212,'A1814',27,-1,-1,27,'06123',3,2016,3,2016,90,'SAIS02600Q','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',0,3
2214,'A95',53,6,-1,59,'06123',3,2017,2,2017,96,'SAPS170004','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2215,'A4753',53,-1,-1,53,'06123',3,2017,2,2017,100,'SAPC05000V','Classica',0,0,0,0,'Attivo','Immatricolazione',0,2
2216,'A3706',38,6,-1,44,'06123',3,2017,2,2017,80,'SAPM020007','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2217,'A933',50,18,-1,68,'06123',3,2017,2,2017,75,'NAPS03901T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2218,'A3599',35,-1,-1,35,'06123',3,2017,2,2017,88,'AVPM00201D','Socio-Psico-Pedagogico',0,0,0,0,'Attivo','Immatricolazione',0,1
2219,'A2232',35,-1,-1,35,'06123',3,2017,2,1995,45,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2220,'A2103',20,-1,-1,20,'06123',3,2017,2,2017,94,'NATF10000D','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2221,'A2243',3,-1,-1,3,'06123',3,2017,2,2017,100,'NATD00901T','Geometra',0,0,0,0,'Attivo','Immatricolazione',0,2
2222,'A4558',17,-1,-1,17,'06123',3,2017,1,2017,62,'SAPS170004','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2223,'A3091',41,-1,-1,41,'06123',3,2017,2,2017,93,'SAPS18000P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2224,'A3521',38,-1,-1,38,'06123',3,2017,2,2017,86,'NATF10000D','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2225,'A1191',38,-1,-1,38,'06123',3,2017,1,2017,98,'SAPS170004','Scientifica',0,0,0,0,'Sospeso','Trasferimento-Uscita',0,3
2227,'A586',51,18,-1,69,'06123',3,2016,3,2016,100,'AVIS00300T','Geometra',0,0,0,0,'Attivo','PASSAGGIO',0,2
2228,'A340',50,15,-1,65,'06123',3,2017,2,2016,78,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Trasf_in_ingresso',0,3
2231,'A1577',32,-1,-1,32,'06123',3,2017,2,2017,97,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2232,'A1419',51,6,-1,57,'06123',3,2016,3,2016,76,'NAPS12000L','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',0,3
2233,'A3494',15,-1,-1,15,'06123',3,2017,2,2017,75,'SAPSX00078','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2234,'A4064',53,6,-1,59,'06123',3,2017,2,2016,73,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Imm_da_rincunciatario',0,3
2236,'A3131',21,18,-1,39,'06123',3,2016,3,2016,96,'NAIS03900B','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',0,3
2237,'A4613',33,12,-1,45,'06123',3,2016,3,2015,62,'SAPS01000G','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',0,3
2238,'A486',29,-1,-1,29,'06123',3,2017,2,2016,72,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',0,3
2239,'A1063',9,-1,-1,9,'06123',3,2016,3,2016,100,'FGTL01000E','Geometra',0,0,0,0,'Attivo','PASSAGGIO',0,2
2240,'A4185',81,-1,-1,81,'06123',3,2015,3,2007,65,'SAPS15000V','Scientifica',2017,91,0,0,'Cessato','Laureato',0,3
2242,'A1067',51,54,-1,105,'06123',3,2016,3,2016,91,'SATF06000P','Tecnico',0,0,0,0,'Attivo','PASSAGGIO',0,2
2243,'A3509',63,36,-1,99,'06123',3,2016,3,2016,85,'SAPS08000T','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',0,3
2244,'A514',33,-1,-1,33,'06123',3,2016,3,2016,78,'NAPS110002','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',0,3
2245,'A4287',30,24,57,111,'06123',3,2016,3,2014,75,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',0,3
2246,'A4606',6,-1,-1,6,'06123',3,2016,3,2013,77,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','PASSAGGIO',0,3
2248,'A1904',26,-1,-1,26,'06123',3,2018,1,2018,95,'SAPS15000V','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2250,'A1311',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPS03000R','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2251,'A4875',8,-1,-1,8,'06123',3,2018,1,2018,88,'SAPC00101P','Classica',0,0,0,0,'Attivo','Immatricolazione',0,2
2252,'A4188',41,-1,-1,41,'06123',3,2018,1,2018,100,'SAPS18000P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2253,'A3986',11,-1,-1,11,'06123',3,2018,1,2018,80,'BNPM02000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2254,'A1520',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPS02401E','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2255,'A1275',29,-1,-1,29,'06123',3,2018,1,2018,97,'SAPS04401Q','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2256,'A695',35,-1,-1,35,'06123',3,2018,1,2018,90,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2257,'A3558',38,-1,-1,38,'06123',3,2018,1,2018,100,'SAIS00100B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2258,'A4449',35,-1,-1,35,'06123',3,2018,1,2018,94,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2259,'A4916',32,-1,-1,32,'06123',3,2018,1,2018,65,'SAIS00100B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2260,'A324',26,-1,-1,26,'06123',3,2018,1,2018,94,'NAPS24000P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2261,'A1161',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2262,'A1097',32,-1,-1,32,'06123',3,2018,1,2018,100,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2263,'A622',35,-1,-1,35,'06123',3,2018,1,2018,87,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2264,'A3449',35,-1,-1,35,'06123',3,2018,1,2018,97,'SAPS06101D','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2266,'A44',32,-1,-1,32,'06123',3,2018,1,2018,100,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2267,'A2295',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2268,'A998',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2269,'A265',38,-1,-1,38,'06123',3,2018,1,2018,100,'SAPS120003','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
