"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[3, 99, 1021, 0]"
"[1, 99, 1048, 0]"
"[3, 90, 1048, 0]"
"[2, 99, 1036, 0]"
"[2, 95, 1030, 0]"
"[3, 100, 1042, 0]"
"[2, 100, 1042, 0]"
"[2, 100, 1033, 0]"
"[3, 100, 1042, 0]"
"[1, 100, 1021, 0]"
"[3, 100, 1030, 0]"
"[3, 87, 1018, 0]"
"[3, 83, 1030, 0]"
"[3, 100, 1036, 0]"
"[3, 87, 1042, 0]"
"[3, 70, 1006, 0]"
"[2, 79, 1018, 0]"
"[3, 86, 1027, 0]"
"[3, 100, 1033, 0]"
"[3, 97, 1039, 0]"
"[3, 89, 1024, 0]"
"[3, 74, 1009, 0]"
"[3, 86, 1033, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1054, 1]"
"[3, 83, 1027, 2]"
"[3, 88, 1042, 2]"
"[3, 95, 1048, 1]"
"[3, 100, 1042, 3]"
"[3, 93, 1018, 0]"
"[2, 94, 1006, 3]"
"[3, 100, 1054, 0]"
"[2, 87, 1042, 3]"
"[3, 83, 1030, 3]"
"[3, 100, 1006, 0]"
"[3, 92, 1015, 0]"
"[3, 78, 1030, 3]"
"[1, 82, 1048, 2]"
"[3, 81, 1054, 0]"
"[3, 83, 1024, 2]"
"[3, 96, 1042, 2]"
"[3, 83, 1048, 2]"
"[3, 72, 1009, 3]"
"[3, 100, 1054, 0]"
"[2, 100, 1048, 1]"
"[3, 78, 1036, 1]"
"[2, 70, 1045, 0]"
"[3, 83, 1009, 3]"
"[3, 90, 1042, 1]"
"[1, 100, 1054, 0]"
"[3, 100, 1048, 1]"
"[3, 86, 1054, 1]"
"[3, 86, 1036, 2]"
"[3, 72, 1054, 1]"
"[3, 85, 1042, 3]"
"[3, 85, 1054, 0]"
"[3, 90, 1054, 0]"
"[1, 88, 1033, 3]"
"[3, 98, 1021, 3]"
"[3, 73, 1027, 3]"
"[3, 100, 1054, 0]"
"[3, 80, 1054, 1]"
"[3, 100, 1042, 2]"
"[3, 62, 1018, 0]"
"[3, 100, 1048, 0]"
"[3, 85, 1015, 0]"
"[2, 75, 1015, 0]"
"[1, 100, 1054, 2]"
"[2, 91, 1015, 3]"
"[3, 77, 1006, 0]"
"[3, 71, 1033, 3]"
"[2, 78, 1033, 3]"
"[2, 100, 1021, 3]"
"[2, 92, 1009, 3]"
"[3, 78, 1042, 2]"
"[3, 70, 1036, 3]"
"[3, 76, 1018, 2]"
"[2, 96, 1042, 2]"
"[2, 77, 1015, 2]"
"[3, 78, 1030, 2]"
"[2, 100, 1054, 1]"
"[2, 98, 1030, 3]"
"[3, 88, 1036, 3]"
"[2, 89, 1042, 1]"
"[3, 87, 1036, 3]"
"[3, 100, 1054, 0]"
"[2, 82, 1024, 3]"
"[3, 83, 1006, 0]"
"[3, 100, 1054, 0]"
"[2, 96, 1054, 1]"
"[2, 80, 1030, 0]"
"[2, 97, 1036, 3]"
"[3, 90, 1018, 3]"
"[1, 68, 1009, 3]"
"[2, 91, 1039, 3]"
"[3, 95, 1054, 0]"
"[3, 93, 1015, 0]"
"[3, 92, 1042, 2]"
"[3, 84, 1030, 3]"
"[3, 70, 1015, 3]"
"[3, 100, 1024, 1]"
"[3, 82, 1054, 0]"
"[3, 100, 1027, 3]"
"[2, 100, 1009, 3]"
"[3, 81, 1030, 2]"
"[3, 69, 1009, 0]"
"[3, 77, 1015, 1]"
"[3, 100, 1042, 3]"
"[3, 80, 1009, 0]"
"[2, 96, 1027, 2]"
"[2, 60, 1030, 3]"
"[3, 100, 1054, 0]"
"[3, 100, 1021, 0]"
"[3, 70, 1009, 3]"
"[3, 81, 1036, 3]"
"[3, 68, 1006, 0]"
"[3, 94, 1030, 3]"
"[3, 100, 1054, 0]"
"[3, 100, 1012, 1]"
"[2, 90, 1009, 1]"
"[1, 85, 1036, 2]"
"[3, 100, 1042, 2]"
"[3, 69, 1042, 3]"
"[2, 80, 1033, 3]"
"[2, 75, 1021, 3]"
"[3, 75, 1048, 3]"
"[3, 75, 1015, 1]"
"[3, 78, 1009, 0]"
"[3, 81, 1042, 1]"
"[3, 100, 1054, 1]"
"[3, 95, 1042, 2]"
"[1, 71, 1030, 2]"
"[3, 95, 1054, 1]"
"[3, 88, 1018, 2]"
"[3, 70, 1024, 0]"
"[1, 71, 1009, 3]"
"[3, 96, 1030, 3]"
"[3, 88, 1042, 2]"
"[3, 90, 1009, 0]"
"[1, 84, 1015, 0]"
"[3, 91, 1030, 3]"
"[3, 90, 1006, 3]"
"[3, 75, 1015, 3]"
"[2, 89, 1015, 3]"
"[2, 85, 1018, 1]"
"[3, 95, 1054, 1]"
"[3, 83, 1048, 1]"
"[3, 87, 1009, 0]"
"[3, 89, 1048, 1]"
"[3, 87, 1015, 0]"
"[3, 85, 1054, 0]"
"[3, 70, 1030, 3]"
"[3, 84, 1021, 3]"
"[3, 88, 1006, 0]"
"[3, 80, 1030, 2]"
"[3, 80, 1015, 0]"
"[3, 87, 1033, 3]"
"[3, 92, 1048, 1]"
"[2, 92, 1048, 3]"
"[3, 77, 1015, 0]"
"[3, 84, 1024, 3]"
"[2, 94, 1015, 0]"
"[3, 74, 1036, 3]"
"[1, 75, 1006, 3]"
"[3, 72, 1009, 3]"
"[3, 87, 1036, 1]"
"[2, 80, 1015, 3]"
"[3, 83, 1015, 3]"
"[1, 61, 1030, 3]"
"[3, 64, 1009, 1]"
"[3, 76, 1009, 0]"
"[3, 86, 1042, 1]"
"[3, 100, 1048, 1]"
"[3, 100, 1054, 0]"
"[3, 97, 1042, 2]"
"[3, 100, 1054, 0]"
"[3, 86, 1042, 1]"
"[3, 100, 1054, 2]"
"[2, 81, 1009, 2]"
"[3, 90, 1036, 2]"
"[3, 87, 1036, 2]"
"[3, 63, 1015, 2]"
"[2, 90, 1054, 0]"
"[2, 95, 1036, 2]"
"[3, 95, 1048, 0]"
"[3, 65, 1021, 2]"
"[3, 100, 1048, 0]"
"[3, 85, 1048, 1]"
"[3, 96, 1054, 0]"
"[3, 97, 1042, 2]"
"[3, 100, 1042, 2]"
"[3, 68, 1021, 2]"
"[3, 90, 1042, 0]"
"[3, 85, 1024, 2]"
"[3, 93, 1006, 0]"
"[2, 66, 1015, 0]"
"[3, 97, 1024, 2]"
"[3, 100, 1048, 1]"
"[3, 91, 1048, 1]"
"[2, 78, 1036, 2]"
"[3, 94, 1042, 1]"
"[3, 65, 1006, 0]"
"[3, 100, 1042, 2]"
"[3, 83, 1030, 2]"
"[3, 100, 1054, 0]"
"[3, 80, 1030, 2]"
"[3, 84, 1054, 0]"
"[3, 82, 1036, 2]"
"[3, 100, 1042, 0]"
"[2, 88, 1015, 2]"
"[3, 93, 1030, 2]"
"[1, 62, 1006, 0]"
"[3, 64, 1036, 2]"
"[3, 64, 1009, 2]"
"[3, 100, 1054, 0]"
"[3, 86, 1054, 0]"
"[3, 100, 1048, 1]"
"[3, 97, 1048, 1]"
"[3, 89, 1015, 2]"
"[3, 70, 1015, 2]"
"[3, 68, 1042, 2]"
"[3, 90, 1009, 2]"
"[3, 78, 1036, 2]"
"[3, 90, 1048, 1]"
"[1, 100, 1054, 2]"
"[3, 91, 1042, 2]"
"[3, 75, 1048, 0]"
"[3, 100, 1048, 1]"
"[3, 73, 1042, 1]"
"[3, 86, 1033, 2]"
"[3, 93, 1042, 2]"
"[3, 87, 1024, 2]"
"[2, 85, 1033, 2]"
"[3, 100, 1024, 2]"
"[3, 86, 1048, 2]"
"[3, 82, 1042, 1]"
"[3, 72, 1015, 2]"
"[3, 87, 1015, 2]"
"[2, 89, 1036, 2]"
"[3, 100, 1054, 0]"
"[3, 80, 1042, 2]"
"[3, 79, 1036, 1]"
"[2, 86, 1042, 1]"
"[3, 100, 1048, 0]"
"[3, 94, 1015, 2]"
"[3, 100, 1036, 2]"
"[3, 83, 1036, 0]"
"[3, 79, 1024, 2]"
"[3, 82, 1021, 2]"
"[2, 64, 1036, 2]"
"[2, 74, 1009, 2]"
"[2, 96, 1024, 2]"
"[3, 67, 1042, 1]"
"[3, 88, 1027, 0]"
"[2, 96, 1027, 2]"
"[3, 100, 1054, 0]"
"[3, 100, 1054, 0]"
"[2, 96, 1036, 0]"
"[2, 96, 1048, 1]"
"[2, 81, 1015, 2]"
"[3, 100, 1054, 0]"
"[3, 82, 1042, 0]"
"[3, 79, 1015, 0]"
"[3, 84, 1024, 2]"
"[3, 96, 1030, 2]"
"[2, 89, 1027, 0]"
"[3, 68, 1030, 2]"
"[2, 98, 1018, 2]"
"[2, 72, 1027, 2]"
"[3, 100, 1048, 0]"
"[3, 94, 1036, 2]"
"[3, 88, 1015, 0]"
"[2, 98, 1042, 0]"
"[3, 93, 1042, 1]"
"[3, 100, 1054, 0]"
"[3, 84, 1036, 2]"
"[3, 62, 1021, 2]"
"[2, 90, 1006, 0]"
"[3, 75, 1012, 2]"
"[3, 100, 1048, 1]"
"[3, 87, 1042, 1]"
"[2, 100, 1030, 2]"
"[3, 84, 1048, 0]"
"[3, 81, 1015, 2]"
"[1, 85, 1024, 2]"
"[2, 92, 1036, 2]"
"[2, 86, 1027, 2]"
"[3, 86, 1048, 1]"
"[2, 80, 1006, 0]"
"[3, 62, 1015, 2]"
"[2, 65, 1027, 2]"
"[3, 77, 1036, 2]"
"[2, 74, 1042, 1]"
"[3, 68, 1036, 2]"
"[3, 95, 1009, 2]"
"[2, 100, 1042, 1]"
